OBS,DURATION,NEW_CAR,USED_CAR,FURNITURE,RADIO_TV,EDUCATION,RETRAINING,AMOUNT,INSTALL_RATE,CO_APPLICANT,GUARANTOR,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,NUM_DEPENDENTS,TELEPHONE,FOREIGN,RESPONSE
1,6,0,0,0,1,0,0,1169,4,0,0,1,0,67,0,0,1,2,1,1,0,1
2,48,0,0,0,1,0,0,5951,2,0,0,1,0,22,0,0,1,1,1,0,0,0
3,12,0,0,0,0,1,0,2096,2,0,0,1,0,49,0,0,1,1,2,0,0,1
4,42,0,0,1,0,0,0,0,2,0,1,0,0,45,0,0,0,1,2,0,0,1
5,24,1,0,0,0,0,0,0,3,0,0,0,1,53,0,0,0,2,2,0,0,0
6,36,0,0,0,0,1,0,9055,2,0,0,0,1,35,0,0,0,1,2,1,0,1
7,24,0,0,1,0,0,0,2835,3,0,0,0,0,53,0,0,1,1,1,0,0,1
8,36,0,1,0,0,0,0,6948,2,0,0,0,0,35,0,1,0,1,1,1,0,1
9,12,0,0,0,1,0,0,3059,2,0,0,1,0,61,0,0,1,1,1,0,0,1
10,30,1,0,0,0,0,0,5234,4,0,0,0,0,28,0,0,1,2,1,0,0,0
11,12,1,0,0,0,0,0,1295,3,0,0,0,0,25,0,1,0,1,1,0,0,0
12,48,0,0,0,0,0,1,4308,3,0,0,0,0,24,0,1,0,1,1,0,0,0
13,12,0,0,0,1,0,0,1567,1,0,0,0,0,22,0,0,1,1,1,1,0,1
14,24,1,0,0,0,0,0,,4,0,0,0,0,,0,0,1,2,,0,,0
15,15,1,0,0,0,0,0,1403,2,0,0,0,0,28,0,1,0,1,1,0,0,1
16,24,0,0,0,1,0,0,1282,4,0,0,0,0,32,0,0,1,1,1,0,0,0
17,24,0,0,0,1,0,0,2424,4,0,0,0,0,53,0,0,1,2,1,0,0,1
18,30,0,0,0,0,0,1,8072,2,0,0,0,0,25,1,0,1,3,1,0,0,1
19,24,0,1,0,0,0,0,12579,4,0,0,0,1,44,0,0,0,1,1,1,0,0
20,24,0,0,0,1,0,0,3430,3,0,0,0,0,31,0,0,1,1,2,1,0,1
21,9,1,0,0,0,,,,,,,,,,,,,,,,,
22,6,0,0,0,1,0,0,2647,2,0,0,1,0,44,0,1,0,1,2,0,0,1
23,10,1,0,0,0,0,0,2241,1,0,0,1,0,48,0,1,0,2,2,0,1,1
24,12,0,1,0,0,0,0,1804,3,0,0,0,0,44,0,0,1,1,1,0,0,1
25,10,0,0,1,0,0,0,2069,2,0,0,0,0,26,0,0,1,2,1,0,1,1
26,6,0,0,1,0,0,0,1374,1,0,0,1,0,36,1,0,1,1,1,1,0,1
27,6,0,0,0,1,0,0,,,,,,,,,0,1,1,1,0,0,1
28,12,0,0,0,1,0,0,409,3,0,0,1,0,42,0,1,0,2,1,0,0,1
29,7,0,0,0,1,0,0,2415,3,0,1,1,0,34,0,0,1,1,1,0,0,1
30,60,0,0,0,0,0,1,6836,3,0,0,0,1,63,0,0,1,2,1,1,0,0
31,18,0,0,0,0,0,1,1913,3,0,0,1,0,36,1,0,1,1,1,1,0,1
32,24,0,0,1,0,0,0,4020,2,0,0,0,0,27,1,0,1,1,1,0,0,1
33,18,1,0,0,0,0,0,5866,2,0,0,0,0,30,0,0,1,2,1,1,0,1
34,12,0,0,0,0,0,1,1264,4,0,0,0,1,57,0,1,0,1,1,0,0,1
35,12,0,0,1,0,0,0,1474,4,0,0,0,0,33,1,0,1,1,1,1,0,1
36,45,0,0,0,1,0,0,4746,4,0,0,0,0,25,0,0,1,2,1,0,0,0
37,48,0,0,0,0,1,0,6110,1,0,0,0,1,31,1,0,0,1,1,1,0,1
38,18,0,0,0,1,0,0,2100,4,1,0,1,0,37,1,0,1,1,1,0,0,0
39,10,0,0,0,0,0,0,1225,2,0,0,0,0,37,0,0,1,1,1,1,0,1
40,9,0,0,0,1,0,0,458,4,0,0,1,0,24,0,0,1,1,1,0,0,1
41,30,0,0,0,1,0,0,2333,4,0,0,0,0,30,1,0,1,1,1,0,0,1
42,12,0,0,0,1,0,0,1158,3,0,0,0,0,26,0,0,1,1,1,1,0,1
43,18,0,0,0,0,0,0,6204,2,0,0,1,0,44,0,0,1,1,2,1,0,1
44,30,0,1,0,0,0,0,6187,1,0,0,0,0,24,0,1,0,2,1,0,0,1
45,48,0,1,0,0,0,0,6143,4,0,0,0,1,58,1,0,0,2,1,0,0,0
46,11,1,0,0,0,0,0,1393,4,0,0,0,0,35,0,0,1,2,1,0,0,1
47,36,0,0,0,1,0,0,2299,4,0,0,0,0,39,0,0,1,1,1,0,0,1
48,6,0,1,0,0,0,0,,,,,,,,,,,,,,,1
49,11,1,0,0,0,0,0,7228,1,0,0,0,0,39,0,0,1,2,1,0,0,1
